n_bins,strategy,method,initial_mi,mean_mi,std_mi,min_mi,max_mi,n_runs,mean_improvement
160,quantile,normal_unbiased,0.037724889919106275,0.04218385375938749,0.006802238343512159,0.028708909860482912,0.05269188546167802,10,0.004458963840281216
160,kmeans,N/A,0.037724889919106275,0.03457503986663866,0.012313808563984292,0.008549317499571885,0.05270882114721753,10,-0.0031498500524676162
180,uniform,N/A,0.037724889919106275,0.044146582105465626,0.016767660657554837,0.013791614423179555,0.06911645822880397,10,0.006421692186359351
180,quantile,inverted_cdf,0.037724889919106275,0.047161964529992065,0.007011354904113393,0.03394904062972426,0.05796560281302421,10,0.00943707461088579
180,quantile,averaged_inverted_cdf,0.037724889919106275,0.04562505516530724,0.007189877277785116,0.03154782779717347,0.05600488014367477,10,0.007900165246200963
180,quantile,closest_observation,0.037724889919106275,0.05904978979351307,0.009158224736081882,0.03794423192358032,0.07380277823628956,10,0.0213248998744068
180,quantile,interpolated_inverted_cdf,0.037724889919106275,0.047161964529992065,0.007011354904113393,0.03394904062972426,0.05796560281302421,10,0.00943707461088579
180,quantile,hazen,0.037724889919106275,0.04107990901242205,0.00678607796505059,0.03362886260150688,0.05572134937935491,10,0.0033550190933157725
180,quantile,weibull,0.037724889919106275,0.0337118761005317,0.008968805397169762,0.023525834398183232,0.05252157262111501,10,-0.004013013818574572
180,quantile,linear,0.037724889919106275,0.04245956038146696,0.008640848586957567,0.032499186686437254,0.05997076674481838,10,0.004734670462360688
180,quantile,median_unbiased,0.037724889919106275,0.03680966309251861,0.006654404037246665,0.029066418492408097,0.04975571647924104,10,-0.0009152268265876645
180,quantile,normal_unbiased,0.037724889919106275,0.03917113605180635,0.006382153190856199,0.031568933582950987,0.05057178714566368,10,0.0014462461327000783
180,kmeans,N/A,0.037724889919106275,0.048080245383805995,0.012991510646116642,0.026313487375096756,0.06564178049465252,10,0.01035535546469972
200,uniform,N/A,0.037724889919106275,0.03339783921906712,0.020208666347637173,0.01240662922276159,0.07883152785097791,10,-0.0043270507000391575
200,quantile,inverted_cdf,0.037724889919106275,0.05283902073924751,0.00581799501530064,0.04015259926521719,0.06018573002419769,10,0.015114130820141236
200,quantile,averaged_inverted_cdf,0.037724889919106275,0.04942145354164722,0.005252414727864121,0.04083570114446644,0.05672102159572234,10,0.011696563622540943
200,quantile,closest_observation,0.037724889919106275,0.04816346825902227,0.009059452140034141,0.036939535740511564,0.06724410571601158,10,0.010438578339915995
200,quantile,interpolated_inverted_cdf,0.037724889919106275,0.05283902073924751,0.00581799501530064,0.04015259926521719,0.06018573002419769,10,0.015114130820141236
200,quantile,hazen,0.037724889919106275,0.04521554703720283,0.006055882315483292,0.03665092912224277,0.058347452703604974,10,0.007490657118096558
200,quantile,weibull,0.037724889919106275,0.03765227731014183,0.006971294414364729,0.027544035247574206,0.04902102829043331,10,-7.261260896444799e-05
200,quantile,linear,0.037724889919106275,0.04917302096392755,0.008856820298666811,0.03402036238747863,0.06165543343467683,10,0.011448131044821272
200,quantile,median_unbiased,0.037724889919106275,0.03370028314411007,0.006128917009749433,0.025342772499638677,0.04470143287276196,10,-0.004024606774996206
200,quantile,normal_unbiased,0.037724889919106275,0.03540222141515041,0.006710373839049566,0.024693453606481786,0.04915663631564149,10,-0.002322668503955863
200,kmeans,N/A,0.037724889919106275,0.0319921039031212,0.012445201774613801,0.014567703713407765,0.05482616750160951,10,-0.005732786015985078
